slug,name,team,title,colors,style,accent_hex
tyrese_maxey,Tyrese Maxey,Philadelphia 76ers,PHILLY AFTERBURNER,"royal blue, red, white","explosive speed, downhill drives, glowing afterburner streaks",#1C4FAA
jaylen_brown,Jaylen Brown,Boston Celtics,BOSTON'S IRON WILL,"deep green, white, gold highlights","power wing scorer, strong shoulders, relentless two-way force",#007A3D
jalen_johnson,Jalen Johnson,Atlanta Hawks,RISE ABOVE ATLANTA,"scarlet red, black, volt yellow accents","rising athletic forward, soaring above the rim, fast break lift",#E33C5C
jalen_brunson,Jalen Brunson,New York Knicks,BROADWAY BUCKETS,"orange, royal blue, white","clutch guard, low center of gravity, late-game shot creator",#F58426
deni_avdija,Deni Avdija,Portland Trail Blazers,FIRE FROM THE EAST,"black, red, silver, ember orange","versatile forward, physical drives, fire and smoke from the east",#E03636
victor_wembanyama,Victor Wembanyama,San Antonio Spurs,SKYLINE SENTINEL,"silver, black, white, cold blue light","towering rim protector, impossible reach, futuristic skyline sentinel",#9BA5AF
payton_pritchard,Payton Pritchard,Boston Celtics,BENCH BORN FIRE,"deep green, white, gold sparks","fearless bench shooter, quick release, green flame three-point burst",#009B63
jonathan_kuminga,Jonathan Kuminga,Atlanta Hawks,ATLANTA AIR RAID,"scarlet red, black, yellow-orange fire","powerful slasher, airborne finish, violent rim pressure",#E33C5C
dylan_harper,Dylan Harper,San Antonio Spurs,ROOKIE VOLTAGE,"silver, black, electric blue","rookie guard voltage, fearless downhill attack, new-generation burst",#5F9BE1
keldon_johnson,Keldon Johnson,San Antonio Spurs,SILVER SIXTH STORM,"silver, black, warm gold sparks","sixth-man storm, strong bench scoring, physical contact finishes",#B4B9BE
quentin_grimes,Quentin Grimes,Philadelphia 76ers,PHILLY PRESSURE,"royal blue, red, white, steel gray","blue-collar shot maker, defensive pressure, catch-and-shoot spark",#1C4FAA
jordan_clarkson,Jordan Clarkson,New York Knicks,GARDEN FLAME,"orange, royal blue, white, neon garden lights","bench microwave scorer, loose handle, instant heat-check offense",#F58426
